# Time	Norm Rc=40	Norm Rc=60	Norm Rc=80	Norm Rc=100	Norm Rc=120	
0.0367437737261964	1	1	1	1	0.999999999999999
0.0734875474523928	1	1	1	1	1
0.110231321178589	1	1	1	1	0.999999999999999
0.146975094904786	1	1	1	1	1
0.183718868630982	1	1	1	1	1
0.220462642357178	0.999999999999999	1	1	1	0.999999999999999
0.257206416083375	1	1	1	1	1
0.293950189809571	1	1	1	1	1
0.330693963535768	1	1	1	1	1
0.367437737261964	1	1	1	1	1
0.404181510988161	1	1.00000000000001	1.00000000000001	1.00000000000001	1.00000000000001
0.440925284714357	1.00000000000001	1.00000000000001	1.00000000000001	1.00000000000001	1.00000000000001
0.477669058440553	1.00000000000001	1.00000000000001	1.00000000000001	1.00000000000001	1.00000000000001
0.51441283216675	1.00000000000001	1.00000000000001	1.00000000000001	1.00000000000001	1.00000000000001
0.551156605892946	1.00000000000001	1.00000000000001	1.00000000000001	1.00000000000001	1.00000000000001
0.587900379619143	1.00000000000001	1.00000000000001	1.00000000000001	1.00000000000001	1.00000000000001
0.624644153345339	1.00000000000001	1.00000000000001	1.00000000000001	1.00000000000001	1.00000000000001
0.661387927071535	1.00000000000001	1.00000000000001	1.00000000000001	1.00000000000001	1.00000000000002
0.698131700797732	1.00000000000001	1.00000000000001	1.00000000000001	1.00000000000001	1.00000000000001
0.734875474523928	1.00000000000001	1.00000000000001	1.00000000000001	1.00000000000001	1.00000000000002
0.771619248250125	1.00000000000001	1.00000000000001	1.00000000000001	1.00000000000001	1.00000000000002
0.808363021976321	1	1.00000000000001	1.00000000000001	1.00000000000001	1.00000000000002
0.845106795702517	1	1	1	1	1.00000000000002
0.881850569428714	1	1	1	1	1.00000000000002
0.91859434315491	1	1	1	1	1.00000000000001
0.955338116881107	1	1	1	1	1.00000000000001
0.992081890607303	0.999999999999997	0.999999999999997	0.999999999999997	0.999999999999997	1.00000000000001
1.0288256643335	0.999999999999995	0.999999999999995	0.999999999999995	0.999999999999995	1.00000000000001
1.0655694380597	0.999999999999992	0.999999999999992	0.999999999999992	0.999999999999992	1.00000000000001
1.10231321178589	0.999999999999991	0.999999999999991	0.999999999999991	0.999999999999991	1.00000000000001
1.13905698551209	0.999999999999988	0.999999999999988	0.999999999999988	0.999999999999988	1.00000000000001
1.17580075923829	0.999999999999984	0.999999999999985	0.999999999999985	0.999999999999985	1
1.21254453296448	0.99999999999998	0.999999999999981	0.999999999999981	0.999999999999981	0.999999999999999
1.24928830669068	0.999999999999978	0.999999999999979	0.999999999999979	0.999999999999979	0.999999999999998
1.28603208041687	0.999999999999976	0.999999999999977	0.999999999999977	0.999999999999977	0.999999999999997
