# Energy	Aggregated during	Calculated after	Total
0.005	-0.0651370221982842	0.414439721067774	0.34930269886949
0.0075	-0.0786396917235826	0.574643406771043	0.496003715047461
0.01	-0.0443538823937314	0.64332725030328	0.598973367909549
0.0125	0.0212556674930678	0.612237748752805	0.633493416245873
0.015	0.0848295733923634	0.52863514417947	0.613464717571833
0.0175	0.120030689013213	0.411996950566347	0.53202763957956
0.02	0.112921619971485	0.299226707673125	0.41214832764461
0.0225	0.0695452734304977	0.212013828888146	0.281559102318643
0.025	0.0112084466479106	0.171126044166883	0.182334490814794
0.0275	-0.0407748112014049	0.167282522321577	0.126507711120172
0.03	-0.0753466409787982	0.187966163398568	0.11261952241977
0.0325	-0.0925218537246245	0.240760016521113	0.148238162796489
0.035	-0.0987072966608305	0.29604904746545	0.19734175080462
0.0375	-0.10029594579261	0.347536698867664	0.247240753075054
0.04	-0.0991268097093994	0.409023871758738	0.309897062049338
0.0425	-0.0931730411340297	0.449856844470422	0.356683803336393
0.045	-0.0806040382981427	0.481884304165248	0.401280265867105
0.0475	-0.0611858664195694	0.504513210094121	0.443327343674552
0.05	-0.0336845619227025	0.529062841120266	0.495378279197564
0.0525	0.00642814712739157	0.550441110300208	0.556869257427599
0.055	0.0670139084710526	0.584277658675514	0.651291567146567
0.0575	0.158465167311064	0.630145600617245	0.788610767928309
0.06	0.291338076154931	0.689438749124433	0.980776825279364
0.0625	0.471168998554346	0.76574990228662	1.23691890084097
0.065	0.693398408116236	0.844470952683408	1.53786936079964
0.0675	0.942436393945514	0.91831942019153	1.86075581413704
0.07	1.19423095245179	0.979057872650766	2.17328882510256
0.0725	1.41940410117003	1.02040345033152	2.43980755150155
0.075	1.58728156643849	1.03513764262796	2.62241920906645
0.0775	1.67264001846184	1.02316087529521	2.69580089375705
0.08	1.66306070771961	0.983850114042305	2.64691082176192
0.0825	1.56181672055396	0.920755743077257	2.48257246363121
0.085	1.38460438354454	0.840687869449642	2.22529225299419
0.0875	1.15373768881226	0.749361476917504	1.90309916572977
0.09	0.893920088370796	0.655458105574645	1.54937819394544
0.0925	0.63002013221272	0.563611857841775	1.19363199005449
0.095	0.384912869534054	0.479321793298534	0.864234662832588
0.0975	0.176667356721606	0.404831927783723	0.581499284505329
0.1	0.0163157927080956	0.34073518550281	0.357050978210906
0.1025	-0.092548824855211	0.287583250185273	0.195034425330062
0.105	-0.152480293750782	0.243873998866166	0.0913937051153834
0.1075	-0.170219004248267	0.209156035712413	0.0389370314641465
0.11	-0.154912259001584	0.181499466402114	0.0265872074005298
0.1125	-0.116848469784935	0.159419306747337	0.0425708369624015
0.115	-0.0666295222358275	0.141243205089528	0.0746136828537003
0.1175	-0.0144159481820354	0.125864852074779	0.111448903892744
0.12	0.0310602505881465	0.113098364199801	0.144158614787947
0.1225	0.0636469492173404	0.102118559517292	0.165765508734633
0.125	0.0805518335096373	0.092922057840935	0.173473891350572
0.1275	0.0822799116294124	0.0849948367467685	0.167274748376181
0.13	0.0718420000054434	0.0783409078441887	0.150182907849632
0.1325	0.0537811801379428	0.0727981821341999	0.126579362272143
0.135	0.0333927788092882	0.0682143896391282	0.101607168448416
0.1375	0.0160187914771409	0.0643119752954789	0.0803307667726198
0.14	0.00614851760581681	0.0610386045500623	0.0671871221558791
0.1425	0.00646091608010375	0.0580706665609763	0.06453158264108
0.145	0.0173200067948077	0.0552570277400309	0.0725770345348386
0.1475	0.0370675560701795	0.0525846809725442	0.0896522370427237
0.15	0.0628995150115721	0.0499664382017797	0.112865953213352
0.1525	0.0917665818118835	0.0473106740467573	0.139077255858641
0.155	0.12095898126585	0.0446011433589369	0.165560124624787
0.1575	0.148488057545523	0.041925496893339	0.190413554438862
0.16	0.173515433492654	0.039219640746176	0.21273507423883
0.1625	0.196775320720968	0.0366161123529088	0.233391433073876
0.165	0.220605778553128	0.0341932268576561	0.254799005410785
0.1675	0.248300049505781	0.032011824744992	0.280311874250773
0.17	0.282964875229888	0.0300895539708009	0.313054429200689
0.1725	0.326454485308737	0.0284476734114085	0.354902158720146
0.175	0.378858098285593	0.0270133295558381	0.405871427841431
0.1775	0.438569135058268	0.0258363074234008	0.464405442481669
0.18	0.502595037449037	0.0248963919110649	0.527491429360102
0.1825	0.566802198060797	0.0241934873924537	0.59099568545325
0.185	0.62611376647659	0.0236649526886571	0.649778719165247
0.1875	0.674909041973587	0.02325022113963	0.698159263113217
0.19	0.707776416919178	0.0228758904879427	0.730652307407121
0.1925	0.720468715957063	0.0225309702847603	0.742999686241823
0.195	0.710684922251687	0.0221786743866675	0.732863596638355
0.1975	0.67839869940398	0.0218330334826148	0.700231732886595
0.2	0.62571898353864	0.0214424269446106	0.647161410483251
0.2025	0.556486297992848	0.0209971750947871	0.577483473087635
0.205	0.475805134106105	0.0204692104509854	0.49627434455709
0.2075	0.389558693072207	0.0198695241674	0.409428217239607
0.21	0.303841095000755	0.0192214311588286	0.323062526159584
0.2125	0.22428412571033	0.0185468511709612	0.242830976881291
0.215	0.155393114903966	0.0178495495960837	0.17324266450005
0.2175	0.100083793365243	0.0171146201342982	0.117198413499541
0.22	0.059547695262835	0.0163387579531729	0.0758864532160079
0.2225	0.0334189671949619	0.0155404118140693	0.0489593790090313
0.225	0.0201006913471638	0.0147443200896458	0.0348450114368096
0.2275	0.0171242945630954	0.0139777954043968	0.0311020899674922
0.23	0.0215020368664596	0.0132497842252845	0.034751821091744
0.2325	0.0301024605150416	0.0125531084313173	0.042655568946359
0.235	0.0400615191955145	0.0118728216261383	0.0519343408216528
0.2375	0.049151585358952	0.0112175080576374	0.0603690934165893
0.24	0.0559937278112942	0.0105691572804251	0.0665628850917193
0.2425	0.060042055134018	0.00998222682266369	0.0700242819566817
0.245	0.0613885779163442	0.00944033951972118	0.0708289174360654
0.2475	0.0605249595335805	0.00893620974400017	0.0694611692775806
0.25	0.0581888277236299	0.00845918573513936	0.0666480134587692
0.2525	0.0553135472081392	0.00799312708586201	0.0633066742940012
0.255	0.0530000858232441	0.00753171999005685	0.0605318058133009
0.2575	0.0524023666072964	0.00709659258243286	0.0594989591897292
0.26	0.0544997160874694	0.00668199982263909	0.0611817159101085
0.2625	0.0598493307626304	0.00630140779521885	0.0661507385578492
0.265	0.0684655019764332	0.00596096286762764	0.0744264648440608
0.2675	0.0799161544309935	0.00562189868578087	0.0855380531167743
0.27	0.0935958250411951	0.00528863383981919	0.0988844588810143
0.2725	0.109021439293146	0.00495734533682679	0.113978784629973
0.275	0.125981722063188	0.00463804155016891	0.130619763613357
0.2775	0.144468046707231	0.00434348571452217	0.148811532421753
0.28	0.16445384485697	0.00407579660233269	0.168529641459303
0.2825	0.185676932691806	0.00382494258462916	0.189501875276436
0.285	0.207560672288089	0.00358891115954169	0.211149583447631
0.2875	0.229310218852474	0.00335899821500832	0.232669217067482
0.29	0.250101557711081	0.00314228178139589	0.253243839492476
0.2925	0.269233718476472	0.00292632819475925	0.272160046671231
0.295	0.286151508340441	0.0027324977923458	0.288884006132787
0.2975	0.300344962980039	0.00255866498719063	0.302903627967229
0.3	0.311215016035319	0.00240413361169324	0.313619149647012
0.3025	0.318017241433496	0.00226063494553103	0.320277876379027
0.305	0.319940722749184	0.00212440513357829	0.322065127882762
0.3075	0.316295295037583	0.0019896063568754	0.318284901394459
0.31	0.306717922104254	0.00186497016141563	0.30858289226567
0.3125	0.291301293702308	0.00174403139314583	0.293045325095454
0.315	0.270599333467776	0.00163906667816022	0.272238400145936
0.3175	0.24552885880112	0.00155366863749204	0.247082527438612
