# Polar angle	Differential ionization probability (asymptotic ejection angle)
0	0.140821693561745
0.0157868977567326	0.140464712492455
0.0315737955134653	0.139399764987577
0.0473606932701979	0.137644665950808
0.0631475910269305	0.135228540866867
0.0789344887836631	0.13219100412313
0.0947213865403958	0.128581061162207
0.110508284297128	0.12445578207851
0.126295182053861	0.119878801516066
0.142082079810594	0.114918703202924
0.157868977567326	0.109647347280272
0.173655875324059	0.10413819522445
0.189442773080792	0.0984646813704038
0.205229670837524	0.0926986727438784
0.221016568594257	0.0869090510477675
0.236803466350989	0.0811604430790982
0.252590364107722	0.0755121192229679
0.268377261864455	0.0700170743417988
0.284164159621187	0.0647213014040393
0.29995105737792	0.0596632653351481
0.315737955134653	0.0548735823565544
0.331524852891385	0.0503749079079415
0.347311750648118	0.0461820335173611
0.36309864840485	0.0423021891951401
0.378885546161583	0.0387355427972079
0.394672443918316	0.0354758813302838
0.410459341675048	0.0325114516632503
0.426246239431781	0.0298259301598827
0.442033137188514	0.0273994831683099
0.457820034945246	0.0252098740123161
0.473606932701979	0.0232335680296181
0.489393830458711	0.0214467860404251
0.505180728215444	0.0198264588825786
0.520967625972177	0.018351041436776
0.536754523728909	0.0170011536085596
0.552541421485642	0.0157600273689615
0.568328319242375	0.0146137521974159
0.584115216999107	0.0135513249203526
0.59990211475584	0.0125645227246958
0.615689012512572	0.011647628853431
0.631475910269305	0.0107970481887775
0.647262808026038	0.0100108539649595
0.66304970578277	0.00928830700847426
0.678836603539503	0.00862938539598338
0.694623501296236	0.00803435586702437
0.710410399052968	0.00750340966612113
0.726197296809701	0.00703637584475998
0.741984194566434	0.00663251560224667
0.757771092323166	0.00629039305612698
0.773557990079899	0.00600781174192464
0.789344887836631	0.00578180264878213
0.805131785593364	0.00560864881816125
0.820918683350097	0.00548393320157894
0.836705581106829	0.00540259999833646
0.852492478863562	0.00535902425501173
0.868279376620295	0.00534708918392657
0.884066274377027	0.00536027456396591
0.89985317213376	0.00539176200679349
0.915640069890493	0.00543456335667317
0.931426967647225	0.0054816769255628
0.947213865403958	0.00552627287292846
0.96300076316069	0.0055619043532278
0.978787660917423	0.00558273582778027
0.994574558674156	0.00558377503510686
1.01036145643089	0.00556109137701675
1.02614835418762	0.00551200160125454
1.04193525194435	0.00543520408694558
1.05772214970109	0.00533084588614421
1.07350904745782	0.00520051171880728
1.08929594521455	0.00504713081701527
1.10508284297128	0.00487480507915548
1.12086974072802	0.00468856949968965
1.13665663848475	0.00449410234766585
1.15244353624148	0.00429740725813203
1.16823043399821	0.00410449168703524
1.18401733175495	0.00392106578596101
1.19980422951168	0.00375228275143892
1.21559112726841	0.00360253650602981
1.23137802502514	0.00347532586697688
1.24716492278188	0.00337318702903833
1.26295182053861	0.00329768917071104
1.27873871829534	0.00324948216163636
1.29452561605208	0.00322838139438347
1.31031251380881	0.00323347310219899
1.32609941156554	0.0032632242453511
1.34188630932227	0.00331558390999332
1.35767320707901	0.00338806763167979
1.37346010483574	0.00347782138786875
1.38924700259247	0.00358166735725924
1.4050339003492	0.00369613809842251
1.42082079810594	0.003817508875515
1.43660769586267	0.0039418390099621
1.4523945936194	0.00406503221503839
1.46818149137613	0.00418292303977473
1.48396838913287	0.00429139225940317
1.4997552868896	0.00438650896768028
1.51554218464633	0.00446469203461361
1.53132908240306	0.00452287927506116
1.5471159801598	0.00455868979925315
1.56290287791653	0.00457056404408254
1.57868977567326	0.00455786709521069
1.59447667343	0.00452094398302149
1.61026357118673	0.00446112026457381
1.62605046894346	0.0043806467591922
1.64183736670019	0.00428259302560587
1.65762426445693	0.00417069927119162
1.67341116221366	0.00404920017928889
1.68919805997039	0.00392263613159536
1.70498495772712	0.00379566725593272
1.72077185548386	0.00367290370815639
1.73655875324059	0.00355876194922644
1.75234565099732	0.00345735208611418
1.76813254875405	0.00337239633651817
1.78391944651079	0.00330717411913764
1.79970634426752	0.00326448585530353
1.81549324202425	0.00324662580810174
1.83128013978099	0.00325535444109187
1.84706703753772	0.00329186281534086
1.86285393529445	0.00335672513484529
1.87864083305118	0.00344984012585434
1.89442773080792	0.0035703667621677
1.91021462856465	0.00371666413779527
1.92600152632138	0.00388624831262348
1.94178842407811	0.00407578015701167
1.95757532183485	0.0042810972924247
1.97336221959158	0.00449730016510384
1.98914911734831	0.00471889740511955
2.00493601510504	0.00494000949130623
2.02072291286178	0.00515462313420139
2.03650981061851	0.00535688256252288
2.05229670837524	0.00554139888100143
2.06808360613197	0.00570355553901943
2.08387050388871	0.00583978714903949
2.09965740164544	0.00594781055614559
2.11544429940217	0.006026790997253
2.1312311971589	0.00607743191606169
2.14701809491564	0.00610198380409824
2.16280499267237	0.00610417447656128
2.1785918904291	0.00608906960996097
2.19437878818584	0.0060628774195532
2.21016568594257	0.00603271450073011
2.2259525836993	0.00600635084369018
2.24173948145603	0.00599195091098583
2.25752637921277	0.00599782479664604
2.2733132769695	0.00603219945681736
2.28910017472623	0.00610301555520778
2.30488707248296	0.00621775137419727
2.3206739702397	0.00638327218937414
2.33646086799643	0.0066057019829135
2.35224776575316	0.00689031459931941
2.36803466350989	0.00724144333563906
2.38382156126663	0.00766241111612965
2.39960845902336	0.00815548719025542
2.41539535678009	0.00872187992022134
2.43118225453682	0.00936177786157981
2.44696915229356	0.0100744522509975
2.46275605005029	0.0108584326722272
2.47854294780702	0.0117117638496881
2.49432984556376	0.0126323453473307
2.51011674332049	0.0136183479139705
2.52590364107722	0.0146686911103948
2.54169053883395	0.0157835576924231
2.55747743659069	0.0169649121163031
2.57326433434742	0.0182169845405756
2.58905123210415	0.0195466786991145
2.60483812986088	0.0209638625882812
2.62062502761762	0.0224815052388949
2.63641192537435	0.0241156307075064
2.65219882313108	0.0258850712026489
2.66798572088781	0.0278110140169901
2.68377261864455	0.0299163505088255
2.69955951640128	0.0322248485331623
2.71534641415801	0.0347601812996793
2.73113331191474	0.0375448546706865
2.74692020967148	0.0405990807529673
2.76270710742821	0.0439396479994296
2.77849400518494	0.0475788370196539
2.79428090294168	0.0515234273488932
2.81006780069841	0.0557738342548067
2.82585469845514	0.0603234071355286
2.84164159621187	0.0651579130732868
2.85742849396861	0.0702552214486996
2.87321539172534	0.0755851987853915
2.88900228948207	0.0811098175070208
2.9047891872388	0.0867834780804731
2.92057608499554	0.0925535408502264
2.93636298275227	0.0983610612937499
2.952149880509	0.104141719890002
2.96793677826573	0.109826934739188
2.98372367602247	0.115345141063576
2.9995105737792	0.120623216527683
3.01529747153593	0.125588024984512
3.03108436929266	0.130168044117239
3.0468712670494	0.134295035101988
3.06265816480613	0.137905705662196
3.07844506256286	0.140943312605548
3.0942319603196	0.143359146987895
3.11001885807633	0.145113845137267
3.12580575583306	0.146178472334392
3.14159265358979	0.14653533308263
