# Polar angle	Differential absorption probability
0	0.086124090094122
0.0157868977567326	0.0859820287943679
0.0315737955134653	0.0855570487096613
0.0473606932701979	0.0848527493394884
0.0631475910269305	0.0838750901728383
0.0789344887836631	0.0826323316508493
0.0947213865403958	0.0811349534630253
0.110508284297128	0.0793955511087794
0.126295182053861	0.0774287118987769
0.142082079810594	0.0752508717963266
0.157868977567326	0.0728801547049402
0.173655875324059	0.0703361959915471
0.189442773080792	0.0676399521935931
0.205229670837524	0.0648134989907476
0.221016568594257	0.0618798196270541
0.236803466350989	0.058862586046442
0.252590364107722	0.0557859350534506
0.268377261864455	0.0526742418320759
0.284164159621187	0.049551893149584
0.29995105737792	0.0464430625400311
0.315737955134653	0.0433714897054842
0.331524852891385	0.0403602662932395
0.347311750648118	0.0374316301065286
0.36309864840485	0.0346067696862991
0.378885546161583	0.0319056410647463
0.394672443918316	0.0293467983394684
0.410459341675048	0.0269472395525461
0.426246239431781	0.0247222691835699
0.442033137188514	0.0226853783816736
0.457820034945246	0.0208481438708912
0.473606932701979	0.0192201462674795
0.489393830458711	0.0178089083489789
0.505180728215444	0.0166198536143779
0.520967625972177	0.0156562852743991
0.536754523728909	0.0149193856121661
0.552541421485642	0.0144082354588416
0.568328319242375	0.0141198533377304
0.584115216999107	0.0140492536452846
0.59990211475584	0.0141895230599152
0.615689012512572	0.0145319142009942
0.631475910269305	0.01506595540242
0.647262808026038	0.0157795753191169
0.66304970578277	0.0166592409523296
0.678836603539503	0.0176901075619997
0.694623501296236	0.0188561788332455
0.710410399052968	0.0201404755802868
0.726197296809701	0.0215252112061826
0.741984194566434	0.0229919720914387
0.757771092323166	0.02452190105961
0.773557990079899	0.0260958820639384
0.789344887836631	0.0276947242559911
0.805131785593364	0.0292993436350596
0.820918683350097	0.0308909405352324
0.836705581106829	0.0324511712847448
0.852492478863562	0.0339623124682286
0.868279376620295	0.0354074163353236
0.884066274377027	0.0367704560269233
0.89985317213376	0.0380364594310153
0.915640069890493	0.0391916306312871
0.931426967647225	0.0402234580709005
0.947213865403958	0.0411208087184618
0.96300076316069	0.0418740076905475
0.978787660917423	0.0424749029525471
0.994574558674156	0.0429169148844761
1.01036145643089	0.0431950706583858
1.02614835418762	0.043306023526853
1.04193525194435	0.0432480572658353
1.05772214970109	0.0430210761482951
1.07350904745782	0.042626580946149
1.08929594521455	0.0420676315663392
1.10508284297128	0.0413487970216037
1.12086974072802	0.0404760935176113
1.13665663848475	0.0394569115056647
1.15244353624148	0.0382999326045896
1.16823043399821	0.0370150373374188
1.18401733175495	0.0356132046589721
1.19980422951168	0.0341064042705034
1.21559112726841	0.0325074827284302
1.23137802502514	0.0308300443570245
1.24716492278188	0.029088327971048
1.26295182053861	0.0272970804048587
1.27873871829534	0.0254714278305472
1.29452561605208	0.0236267458301369
1.31031251380881	0.0217785291665471
1.32609941156554	0.019942262175458
1.34188630932227	0.0181332906758149
1.35767320707901	0.0163666962706524
1.37346010483574	0.0146571738822357
1.38924700259247	0.0130189133360574
1.4050339003492	0.0114654857767515
1.42082079810594	0.0100097356651308
1.43660769586267	0.00866367906893303
1.4523945936194	0.00743840892007696
1.46818149137613	0.006344007867901
1.48396838913287	0.00538946931069078
1.4997552868896	0.00458262713659376
1.51554218464633	0.00393009464968699
1.53132908240306	0.00343721309757806
1.5471159801598	0.00310801015368861
1.56290287791653	0.00294516864066322
1.57868977567326	0.00295000571166755
1.59447667343	0.00312246263431972
1.61026357118673	0.00346110524836811
1.62605046894346	0.00396313509378528
1.64183736670019	0.00462441113152952
1.65762426445693	0.00543948190566541
1.67341116221366	0.00640162792363393
1.68919805997039	0.00750291396194905
1.70498495772712	0.00873425093810055
1.72077185548386	0.0100854669264674
1.73655875324059	0.0115453868369538
1.75234565099732	0.013101920220066
1.76813254875405	0.0147421566113101
1.78391944651079	0.0164524677810339
1.79970634426752	0.0182186162129488
1.81549324202425	0.0200258690952496
1.83128013978099	0.021859117072124
1.84706703753772	0.023702996970111
1.86285393529445	0.0255420176828166
1.87864083305118	0.0273606883685982
1.89442773080792	0.0291436480886991
1.91021462856465	0.0308757959878355
1.92600152632138	0.032542421095404
1.94178842407811	0.0341293308034943
1.95757532183485	0.0356229770581246
1.97336221959158	0.0370105792831487
1.98914911734831	0.0382802430428689
2.00493601510504	0.0394210734404529
2.02072291286178	0.0404232822458737
2.03650981061851	0.0412782877504304
2.05229670837524	0.0419788063562114
2.06808360613197	0.0425189349293475
2.08387050388871	0.0428942229767796
2.09965740164544	0.0431017337485996
2.11544429940217	0.0431400934227378
2.1312311971589	0.0430095275965557
2.14701809491564	0.042711884391204
2.16280499267237	0.0422506435695277
2.1785918904291	0.0416309111766463
2.19437878818584	0.0408593993335297
2.21016568594257	0.0399443909469982
2.2259525836993	0.0388956892433081
2.24173948145603	0.0377245521852164
2.25752637921277	0.0364436119922141
2.2733132769695	0.0350667801482779
2.28910017472623	0.0336091384486019
2.30488707248296	0.0320868168037791
2.3206739702397	0.0305168586841425
2.33646086799643	0.0289170752457883
2.35224776575316	0.0273058893305621
2.36803466350989	0.0257021706724775
2.38382156126663	0.0241250637703419
2.39960845902336	0.0225938099986519
2.41539535678009	0.0211275656242981
2.43118225453682	0.0197452174737334
2.44696915229356	0.0184651980528527
2.46275605005029	0.0173053019590568
2.47854294780702	0.0162825054413403
2.49432984556376	0.0154127909596188
2.51011674332049	0.0147109785690539
2.52590364107722	0.0141905659093243
2.54169053883395	0.0138635785133514
2.55747743659069	0.0137404320658722
2.57326433434742	0.0138298081405884
2.58905123210415	0.0141385448266922
2.60483812986088	0.0146715435227434
2.62062502761762	0.0154316930296002
2.63641192537435	0.0164198119158722
2.65219882313108	0.0176346099606639
2.66798572088781	0.0190726693007073
2.68377261864455	0.0207284457238431
2.69955951640128	0.0225942903596564
2.71534641415801	0.0246604918224055
2.73113331191474	0.0269153386626504
2.74692020967148	0.0293452017837052
2.76270710742821	0.0319346362787326
2.77849400518494	0.0346665019455504
2.79428090294168	0.0375221015406971
2.81006780069841	0.0404813356437328
2.82585469845514	0.0435228728189736
2.84164159621187	0.0466243335867824
2.85742849396861	0.0497624865521743
2.87321539172534	0.052913454886914
2.88900228948207	0.0560529312245848
2.9047891872388	0.0591563989084326
2.92057608499554	0.0621993574311978
2.93636298275227	0.0651575498266592
2.952149880509	0.0680071897160886
2.96793677826573	0.0707251856808947
2.98372367602247	0.0732893606268745
2.9995105737792	0.0756786638267193
3.01529747153593	0.0778733733765327
3.03108436929266	0.0798552868793576
3.0468712670494	0.0816078982739721
3.06265816480613	0.0831165588598445
3.07844506256286	0.084368620728012
3.0942319603196	0.0853535609911347
3.11001885807633	0.0860630854119547
3.12580575583306	0.086491210255277
3.14159265358979	0.0866343214314001
