# Energy	DeltaT=25	DeltaT=50	DeltaT=100	DeltaT=150	DeltaT=200	DeltaT=300	
0.046	0.0861575681797844	0.253776771148166	0.381718162263567	0.385376142657288	0.407713612388984	0.424968196698225
0.0485	0.129035392377744	0.303964788723258	0.429648528210737	0.432079941726598	0.452295373339706	0.467383094726543
0.051	0.180457802134783	0.362170395365257	0.487153963169806	0.489041686660229	0.507351155657502	0.520610596142795
0.0535	0.25159526390152	0.441853295403702	0.569352950601846	0.571718367389664	0.588295171681654	0.599866109992962
0.056	0.349064810715012	0.551035342031806	0.685153808217275	0.689091699989864	0.704093444890584	0.714091783538299
0.0585	0.485948523270414	0.703623673609096	0.848478799702697	0.85481978060875	0.868432454422543	0.877022044832746
0.061	0.670777099527715	0.908143884780147	1.06734810931482	1.07657256393351	1.08898705794235	1.09636201090795
0.0635	0.909213811850206	1.16930257559502	1.34532352759552	1.35763709197512	1.36901874442835	1.37536768378338
0.066	1.18852592050103	1.47180543478672	1.66509905337297	1.68048699023196	1.69094632536606	1.69642503538209
0.0685	1.4802936708401	1.78432534048346	1.99360385291724	2.01188801528017	2.02148005532046	2.02621241743214
0.071	1.74878848641443	2.06855474404966	2.2911423035888	2.31201131531148	2.32077265825287	2.32486510788444
0.0735	1.96136281652969	2.28989562941891	2.52188807204365	2.54489265379599	2.55287221650448	2.5564190313783
0.076	2.09304353597348	2.42227439326064	2.65888757006941	2.68348043382771	2.69073907276844	2.69382108894317
0.0785	2.13030370405687	2.45200903935161	2.68802699928115	2.71356735438494	2.72015387017443	2.72283157604553
0.081	2.06189209542833	2.36810615328572	2.59814298743687	2.62389654327965	2.62984509963631	2.63216391298592
0.0835	1.89222321029968	2.17641209376135	2.3957397577103	2.42100032848934	2.42633507183643	2.42833390974787
0.086	1.64223342752401	1.89994704926112	2.10493717588076	2.12911770810586	2.13386704822617	2.13558199583131
0.0885	1.34395147519691	1.57296610517338	1.76121294322133	1.78387963212708	1.78808796526787	1.78955550697022
0.091	1.03282134399466	1.23302701377341	1.40337051934702	1.42424367758617	1.42796808971743	1.42922634529259
0.0935	0.733198133647607	0.906069844947395	1.05849836319182	1.07742558339615	1.08072405324932	1.08180634807016
0.096	0.462908879877391	0.610897325218467	0.746155689068275	0.763074419790199	0.765997310717847	0.766930632673714
0.0985	0.235593558467374	0.361739075486445	0.481032769465521	0.495943643863666	0.498529383565303	0.499334543761376
0.101	0.0622884774136328	0.170063381885937	0.274982405915537	0.28794304130004	0.290220253518541	0.290913105103304
0.1035	-0.0508127359456671	0.0419041119423054	0.134142745658344	0.145247067082997	0.147239448168012	0.147834289315318
0.106	-0.107828364344966	-0.0272915349998598	0.0539461002808397	0.0633229318358313	0.0650536588690519	0.0655637074830719
0.1085	-0.120619648213181	-0.0499207013107357	0.0219403433584014	0.0297565727937118	0.0312506507093379	0.0316878188578993
0.111	-0.102990522817065	-0.040314205785807	0.0237163178242775	0.0301742572116778	0.0314586026036901	0.031833888195355
0.1135	-0.0664263407926153	-0.010384425799401	0.0471681877493745	0.0524758945186994	0.0535767319808723	0.0538993240565384
0.116	-0.0203761056286618	0.0300973226241726	0.0822923825573061	0.0866437339628851	0.0875853189501517	0.087862506657072
0.1185	0.0260229581291031	0.0717416261717439	0.119483920745584	0.123051139227967	0.123855512313863	0.124093225642466
0.121	0.0651931913916728	0.106723135148737	0.150701993571759	0.153634844330932	0.154321471532503	0.15452465969144
0.1235	0.09077197958466	0.128508425316889	0.169228778854674	0.171654550478206	0.172240331822827	0.172413355072703
0.126	0.0987374522818763	0.133021177231529	0.170856462334907	0.17288097475258	0.17338057395416	0.173527480008859
0.1285	0.0926548130280557	0.123820371403199	0.159060671885563	0.160772489346164	0.161198582734143	0.161322984371708
0.131	0.0778531455019131	0.106246546481854	0.139114619081112	0.14058572554549	0.140949005679667	0.141054145750567
0.1335	0.0594344765707325	0.0854103339867914	0.116068207883933	0.117354470007701	0.117663683742906	0.117752530712802
0.136	0.0427764169111037	0.0666737311382292	0.0952530943958422	0.0963988725280904	0.0966613430154088	0.0967364844516118
0.1385	0.0311000655832246	0.0532231737816628	0.079841324354872	0.0808814324232427	0.0811034829780094	0.0811671275979294
0.141	0.0256109980930108	0.0462162137567636	0.0709816280944674	0.0719417257408876	0.0721289688545204	0.0721829690695348
0.1435	0.0280009447564599	0.0472953264689995	0.0703090902215981	0.071205759576283	0.0713632333631645	0.0714090757881959
0.146	0.0390764671100244	0.0572222649314833	0.0785803196487778	0.0794224287874495	0.0795546826175173	0.0795935280749608
0.1485	0.0587028753936866	0.075829490075379	0.0956281492984294	0.0964213180562867	0.0965324671410588	0.0965652661593367
0.151	0.0849999869262961	0.101205204862525	0.119540033375015	0.120288251085779	0.120381917820061	0.12040946643119
0.1535	0.11486584157763	0.130216501475383	0.147181263230769	0.147887493807707	0.147966731727043	0.147989724323618
0.156	0.144940098762761	0.159471129017412	0.175156593163769	0.17582284356808	0.175890055315197	0.175909141594899
0.1585	0.17267553234777	0.186400023577727	0.200892960172212	0.201520489095017	0.201577487328382	0.201593282331934
0.161	0.196730559593413	0.209665096885633	0.223047322033459	0.223637112239971	0.223685351719134	0.223698416959958
0.1635	0.219159800383046	0.231326539254775	0.243675731027763	0.244228481079911	0.24426920354825	0.244280031261019
0.166	0.243959839784184	0.255390205810297	0.266780315592996	0.267296541383006	0.26733083425959	0.267339834449327
0.1685	0.274782366368441	0.285517525077128	0.296018756392818	0.296498892582029	0.296527692287306	0.296535200315458
0.171	0.314324678801841	0.324413919711476	0.334092629582555	0.33453713295987	0.334561242942848	0.334567527315739
0.1735	0.364175512573753	0.373672091801194	0.382590318184401	0.38299988406862	0.383020023271682	0.38302530015765
0.176	0.423125311600753	0.432084555642072	0.440299795369444	0.440675537381237	0.440692334283904	0.440696779015982
0.1785	0.487122210472664	0.495599959532016	0.503165303351136	0.503508804378571	0.503522798981954	0.503526552962847
0.181	0.551936030232256	0.559988853251608	0.56695326008557	0.567266531975336	0.567278182216728	0.567281355273358
0.1835	0.613052255371632	0.620736785167037	0.627145268736461	0.627430678088899	0.627440363945721	0.627443038370268
0.186	0.665785813449549	0.673149605259862	0.679043516932113	0.679303422670862	0.679311467597021	0.679313707166029
0.1885	0.705746218525886	0.712825670845769	0.718242449986603	0.718479053175266	0.718485741244253	0.718487596225999
0.191	0.729451666293001	0.736273414616157	0.741246097868791	0.741461420069909	0.74146699948582	0.741468513019583
0.1935	0.733977577456972	0.740559821465664	0.745117917346282	0.745313784732314	0.745318461306183	0.745319676719555
0.196	0.717337331533481	0.723694186914306	0.727865200226657	0.728043271126543	0.72804721150407	0.728048175125028
0.1985	0.67954746571822	0.685688148085347	0.689497986030924	0.689659763398438	0.689663102392378	0.689663863513226
0.201	0.621654791803438	0.627582627185366	0.631056080628312	0.631202930330735	0.631205784259351	0.631206394778483
0.2035	0.547722560499172	0.553439088484854	0.556600252897846	0.556733408660881	0.556735874635551	0.556736387060345
0.206	0.463724021276793	0.469230134359597	0.472102454925603	0.472223038381765	0.47222519917306	0.472225659755601
0.2085	0.37597089894696	0.381266543485266	0.383872053644292	0.383981101564675	0.383983025762613	0.383983471129608
0.211	0.290704085212368	0.295787975689521	0.298146991517827	0.298245473640802	0.298247214643656	0.298247670895516
0.2135	0.213735047236629	0.2186047186122	0.220736075327672	0.220824916087389	0.220826515187468	0.220826998492523
0.216	0.149542866221221	0.154195952006466	0.156117429582102	0.156197519425462	0.156199008898134	0.156199526085091
0.2185	0.0995127094225558	0.103949491788876	0.105678257301458	0.105750457572151	0.105751864989064	0.105752414768794
0.221	0.0636664646500318	0.0678898429021563	0.0694424257033384	0.0695075354885934	0.0695088817589186	0.0695094592833858
0.2235	0.0411903839677583	0.0452040838667507	0.0465960555527951	0.0466547757736973	0.0466560741386798	0.0466566732201152
0.226	0.0298804489419493	0.033688745939882	0.0349346224085536	0.0349875528274251	0.0349888108236239	0.034989424664016
0.2285	0.0271833581255715	0.0307918964319043	0.0319052575873519	0.0319529309082287	0.0319541527916461	0.0319547748819128
0.231	0.0305724698354244	0.0339886104883744	0.0349824073215683	0.0350252927562459	0.0350264805006835	0.0350271054959315
0.2335	0.0376989743788541	0.0409317683896926	0.0418184713388752	0.0418569685419697	0.0418581214843701	0.0418587459887963
0.236	0.0464190982918461	0.0494787979364179	0.0502701903330679	0.0503046588503556	0.0503057748233508	0.0503063961940608
0.2385	0.0549973245894623	0.057893735283089	0.0586004722195962	0.0586312476309778	0.0586323243999618	0.0586329407610135
0.241	0.062140907177449	0.0648831908740911	0.0655147821842091	0.0655421798904573	0.0655432157394852	0.0655438260702653
0.2435	0.0668309378711416	0.0694279660926791	0.0699928915708738	0.0700172163335867	0.070018210216962	0.0700188143461771
0.246	0.0686243705744909	0.071084656764639	0.0715905574168144	0.0716121062080195	0.0716130575794212	0.0716136560227223
0.2485	0.068047604720848	0.0703788766684553	0.0708326909446544	0.0708517526111768	0.0708526610378615	0.0708532545611429
0.251	0.0658757076838056	0.0680849095542075	0.0684929057018978	0.0685097460714081	0.0685106110401341	0.068511200794622
0.2535	0.0629840130875361	0.0650775422161961	0.0654453263388545	0.0654601778416283	0.0654609986725193	0.0654615855507826
0.256	0.0605728806252437	0.0625566959824132	0.0628892032964683	0.0629022662509148	0.0629030416747955	0.0629036265859711
0.2585	0.0599401508367195	0.0618197215445531	0.0621212434861446	0.0621326965825737	0.0621334252230383	0.0621340091805268
0.261	0.0620681614406851	0.0638483787902197	0.0641226328386243	0.0641326369332446	0.0641333173883301	0.0641339015260511
0.2635	0.0673118305199127	0.068996864328397	0.0692470712838049	0.0692557675177268	0.0692563985943551	0.0692569842385023
0.266	0.0759042087489351	0.0774975561492024	0.0777264606273863	0.0777339756731673	0.0777345568203417	0.0777351453195631
0.2685	0.0877884712858528	0.0892933855544251	0.0895033751783583	0.0895098272827345	0.089510358556008	0.0895109515521499
0.271	0.102583281299907	0.10400294391755	0.104196103527313	0.104201602881748	0.104202084644122	0.10420268382638
0.2735	0.119653663521066	0.120991180401213	0.12116929667003	0.121173945933595	0.121174378486463	0.121174985098474
0.276	0.138379158183102	0.139637535471039	0.139802107029319	0.139806001602272	0.139806385084475	0.139806999741337
0.2785	0.158433018221659	0.15961518438182	0.15976746905148	0.15977069796414	0.159771032873608	0.159771655019185
0.281	0.179291943418977	0.180400821399779	0.180541872511934	0.18054451969176	0.180544806822538	0.180545434156975
0.2835	0.200541840765078	0.201580335306235	0.201711053531449	0.201713196559677	0.20171343662436	0.20171406535786
0.286	0.221963645154813	0.22293464881003	0.22305583480781	0.22305754341409	0.223057737392791	0.223058362359146
0.2885	0.243150936909421	0.244057350353047	0.244169707403303	0.244171043758211	0.244171193455743	0.244171808162646
0.291	0.263598492032226	0.264443265533029	0.264547401314557	0.264548422594888	0.264548531047412	0.264549128203001
0.2935	0.28263847027505	0.283424612646104	0.283521054859202	0.283521814398256	0.283521885621184	0.283522457468539
0.296	0.299405059439205	0.300135568074463	0.300224796374316	0.300225342582833	0.300225381262158	0.300225920685315
0.2985	0.312964650866379	0.313642488388507	0.313724945871866	0.313725320520908	0.313725332280026	0.313725833469085
0.301	0.322331518179974	0.32295961014293	0.323035719366028	0.323035958151257	0.323035949617552	0.323036407775647
0.3035	0.326660684283795	0.327241911024803	0.327312081952926	0.32731221499447	0.327312193200985	0.327312605091328
0.306	0.325488256145359	0.326025445958503	0.32609007725415	0.326090129381779	0.326090101150785	0.326090465615097
0.3085	0.31850977460249	0.319005694733784	0.319065174600987	0.31906516628499	0.319065138058779	0.319065455739603
0.311	0.305589646363403	0.306046992903676	0.306101695696741	0.30610164242457	0.306101620221385	0.306101893689093
0.3135	0.287330194384716	0.287751550615265	0.287801823950161	0.287801736620166	0.287801725619927	0.287801959208455
0.316	0.264599657468279	0.264987486554409	0.265033650110708	0.265033536604794	0.265033540937294	0.265033740493669
0.3185	0.238262074899034	0.23861870659355	0.238661057618276	0.238660923836188	0.238660946629726	0.238661119306386
0.321	0.209378908673547	0.209706531178016	0.209745345389897	0.20974519536406	0.209745238866995	0.209745392484178
0.3235	0.179134458863118	0.179435128452833	0.179470661826681	0.179470498211812	0.179470563783	0.17947070625002
0.326	0.148724497143193	0.149000150990911	0.149032642660551	0.149032466920409	0.149032555058281	0.149032694234696
0.3285	0.119430959729159	0.119683419125755	0.119713093063187	0.119712906310456	0.119713016785635	0.119713159853175
0.331	0.0922019448026019	0.0924329315825162	0.0924599990452953	0.0924598030090571	0.0924599349675489	0.0924600873234821
0.3335	0.0678738733278951	0.0680850121490836	0.068109671867826	0.0681094684078262	0.0681096202941448	0.0681097854930863
0.336	0.0472366191126238	0.047429462080144	0.0474519005470247	0.0474516911576356	0.0474518606947022	0.047452040661472
0.3385	0.0307445308697518	0.0309205579380309	0.0309409496066562	0.0309407356593877	0.0309409202091847	0.0309411150521579
0.341	0.0185062799988387	0.0186668865309334	0.018685393096444	0.0186851757272687	0.0186853725618265	0.0186855807411091
0.3435	0.0105219611048018	0.0106684408821948	0.0106852102678316	0.0106849903268975	0.0106851966602586	0.0106854152750547
0.346	0.00649712049512258	0.00663066180763023	0.00664582948011762	0.00664560760043903	0.00664582053835892	0.00664604563441871
0.3485	0.00577326338777013	0.00589495622096657	0.0059086469273381	0.00590842312855807	0.00590863985404991	0.00590886746216788
0.351	0.00760789286772466	0.00771873910773415	0.00773106872003259	0.00773084259800776	0.00773106047371857	0.00773128691063573
0.3535	0.0112639401989666	0.0113648781769025	0.0113759576828133	0.0113757290643369	0.0113759456722814	0.0113761675428306
0.356	0.0160047918105698	0.016096702215028	0.0161066383166668	0.0161064071604126	0.0161066201321367	0.0161068347921036
0.3585	0.0211981108145529	0.0212818163095719	0.0212907112540823	0.0212904775872589	0.0212906845168994	0.0212908904401372
0.361	0.0262746031591368	0.0263508669296498	0.0263588184832897	0.0263585826399509	0.0263587810896547	0.0263589778472696
0.3635	0.0307642639220286	0.0308337830968888	0.0308408837545402	0.0308406462552609	0.030840833850759	0.0308410222488399
0.366	0.0345329287805516	0.0345963366102767	0.0346026736999237	0.0346024351838085	0.0346026097419761	0.0346027916618752
0.3685	0.0376282436683741	0.0376861127877494	0.0376917681966124	0.0376915294492252	0.0376916890705196	0.0376918672269973
0.371	0.0401104044905152	0.0401632554850526	0.0401683039604663	0.0401680655359935	0.0401682087580758	0.0401683865170222
0.3735	0.0421613136408275	0.0422096238115332	0.042214132883599	0.0422138950939515	0.0422140209473464	0.0422142021021838
0.376	0.0441093056973257	0.0441535095541923	0.0441575394829903	0.044157302651674	0.0441574106470593	0.0441575990247284
0.3785	0.0462929478525346	0.0463334352376436	0.0463370385498589	0.0463368029468405	0.0463368931385493	0.046337092254939
0.381	0.0490445394291226	0.0490816557249478	0.0490848771981574	0.0490846429738962	0.04908471597875	0.0490849288050748
0.3835	0.0526363895127488	0.0526704418216702	0.0526733186834256	0.0526730860113954	0.0526731429880687	0.0526733715571137
0.386	0.0571905206691835	0.0572217878744765	0.0572243496942356	0.0572241188454423	0.0572241614503487	0.0572244066079282
0.3885	0.0627813784468272	0.0628101143335016	0.062812385241882	0.0628121567266098	0.0628121869738422	0.0628124484042021
0.391	0.0694035950129586	0.0694300313130557	0.0694320335887367	0.0694318082830049	0.0694318283581854	0.0694321046498625
0.3935	0.076849083837204	0.0768734290280366	0.0768751838674273	0.076874962899988	0.0768749752150691	0.0768752637763252
0.396	0.0847647944595333	0.0847872346081521	0.0847887624437905	0.0847885470175427	0.0847885541479112	0.0847888513508653
0.3985	0.0927959745323317	0.0928166764900677	0.0928179970343295	0.0928177885527929	0.0928177930168561	0.0928180944388842
0.401	0.100566182113697	0.100585294765426	0.100586427177599	0.100586227245974	0.10058623142039	0.100586531990257
0.4035	0.107679572179538	0.107697225728603	0.107698189875348	0.10769800018879	0.107698006077191	0.107698300506916
0.406	0.113762574520707	0.113778879747305	0.113779697097396	0.113779519309291	0.113779528423883	0.11377981151651
0.4085	0.118491596587561	0.118506650438801	0.118507342133406	0.118507177787689	0.118507191224213	0.118507458034368
0.411	0.121602662308239	0.121616554288524	0.121617139777486	0.121616990163727	0.121617008619246	0.12161725474072
0.4135	0.122958244428683	0.122971059285795	0.122971556007841	0.122971422012506	0.122971445685039	0.122971667630809
0.416	0.122506650108758	0.122518468092779	0.122518891321491	0.122518773381512	0.122518802078696	0.122518997407713
